gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
2265,,34180200000347,34180200000332,梅溪路,6,梅溪路,梅溪路,118.713874,30.959128,118.712140,30.959900,,,187.54,,,34180201158,298.00,西,3,341802,1,3,,34180200000347_34180200000332,,04,1,"MULTILINESTRING ((118.71384890511 30.9590779473133, 118.713698933109 30.959167985143, 118.713659929756 30.9591879886233, 118.713659929756 30.9591879886233, 118.713539957034 30.9592579617937, 118.713039924917 30.9595180027892, 118.712649942488 30.9597269656213, 118.712419928661 30.9598370078769, 118.712179905553 30.9599669391805))",60.00,,,,99,,,,,,118.713018,30.95953,04,,3,3,,1,,,301.00,西,569.37,341804000000,341804,0
14027,,-34180200000347,34180200000332,梅溪路,6,梅溪路,梅溪路,118.713874,30.959128,118.712140,30.959900,,,186.91,,,34180201159,299.00,西,1,341802,1,1,,-34180200000347_34180200000332,,06,1,"MULTILINESTRING ((118.713898950077 30.9591779619309, 118.713778872895 30.9592479367047, 118.712969934435 30.9596669714287, 118.712229875331 30.9600569417382))",50.00,,,,99,,,,,,118.713065,30.959618,06,,5,4,,1,,,299.00,西,187.54,341804000000,341804,0
5611,,34180200000528,34180200000334,梅溪路,6,梅溪路,梅溪路,118.700431,30.961137,118.698992,30.960646,,,145.76,,,34180201167,256.00,西,3,341802,1,3,,34180200000528_34180200000334,,04,1,"MULTILINESTRING ((118.700440866866 30.9610869922472, 118.69897291627 30.96072893926))",60.00,,,,99,,,,,,118.699707,30.960908,04,,3,3,,1,,,256.00,西,452.22,341804000000,341804,0
13902,,-34180200000528,34180200000334,梅溪路,6,梅溪路,梅溪路,118.700431,30.961137,118.698992,30.960646,,,145.76,,,34180201168,256.00,西,1,341802,1,1,,-34180200000528_34180200000334,,06,1,"MULTILINESTRING ((118.700420863756 30.9611869419373, 118.698952913273 30.9608289789744))",60.00,,,,99,,,,,,118.699687,30.961008,06,,5,4,,1,,,256.00,西,148.29,341804000000,341804,0
15810,,34180200000605,34180200005575,梅溪路,6,水阳江北大道,梅溪路,118.717004,30.957340,118.717909,30.956779,,,91.43,,,34180202249,119.00,东,3,341802,1,3,,34180200000605_34180200005575,,03,1,"MULTILINESTRING ((118.717098877674 30.9572179838158, 118.717908885029 30.956778972567))",60.00,,,,99,,,,,,118.717504,30.956998,03,,3,2,,1,,,119.00,东,370.78,341804000000,341804,0
10334,,-34180200000271,34180200000341,梅溪路,6,鸿越大道,梅溪路,118.703501,30.961665,118.706031,30.961897,,,235.97,,,34180200912,93.00,东,1,341802,1,1,,-34180200000271_34180200000341,,06,1,"MULTILINESTRING ((118.703590875655 30.9615669311512, 118.703860951585 30.9616369841567, 118.704270886933 30.9617069960067, 118.704780932588 30.9617669348487, 118.705330865847 30.9618269766629, 118.705910959983 30.9618169728017, 118.706030961612 30.9618069983505))",60.00,,,,99,,,,,,118.704803,30.961769,06,,5,4,,1,,,78.00,东,259.51,341804000000,341804,0
6771,,-34180200000334,34180200000271,梅溪路,6,梅溪路,鸿越大道,118.698992,30.960646,118.703501,30.961665,,,439.10,,,34180200916,76.00,东,1,341802,1,1,,-34180200000334_34180200000271,,06,1,"MULTILINESTRING ((118.699041898535 30.960438986488, 118.699611958596 30.9605779961399, 118.701160960306 30.9609670006338, 118.703460879735 30.9615269664038))",60.00,,,,99,,,,,,118.70125,30.960989,06,,5,4,,1,,,76.00,东,471.75,341804000000,341804,0
8303,,34180200000330,34180200000271,梅溪路,6,梅溪路,鸿越大道,118.703806,30.961957,118.703501,30.961665,,,35.26,,,34180200917,259.00,西,3,341802,1,3,,34180200000330_34180200000271,,04,1,"MULTILINESTRING ((118.70382086778 30.961896967876, 118.703460868028 30.9618270179249))",60.00,,,,99,,,,,,118.703641,30.961862,04,,3,3,,1,,,259.00,西,85.27,341804000000,341804,0
14005,,34180200000334,34180200000271,梅溪路,6,梅溪路,鸿越大道,118.698992,30.960646,118.703501,30.961665,,,440.32,,,34180200918,76.00,东,3,341802,1,3,,34180200000334_34180200000271,,04,1,"MULTILINESTRING ((118.699001948309 30.9605889964371, 118.70048096053 30.9609570075217, 118.703140884356 30.9616169785628, 118.703430953592 30.9616869493347))",60.00,,,,99,,,,,,118.701216,30.961139,04,,3,3,,1,,,76.00,东,1368.59,341804000000,341804,0
4698,,34180200000025,34180200000159,梅溪路,6,宛陵西路,无名路,118.731609,30.951151,118.726725,30.953573,,,542.97,,,34180200117,291.00,西,3,341802,1,3,,34180200000025_34180200000159,,03,1,"MULTILINESTRING ((118.731696895732 30.9512409330388, 118.731406923666 30.9514309288907, 118.730866891879 30.9517199902731, 118.73052688154 30.95190993275, 118.730416904448 30.9519699540426, 118.730146856933 30.9521099727514, 118.730146856933 30.9521099727514, 118.729906908783 30.9522300116485, 118.729706897301 30.9523299392146, 118.729706897301 30.9523299392146, 118.729546930642 30.9524099346094, 118.729446926195 30.952459988355, 118.729306952033 30.9525399865193, 118.729166930855 30.9525999577863, 118.728526909215 30.9529000005114, 118.728116891673 30.9530799574662, 118.728116891673 30.9530799574662, 118.727647865802 30.9532499667233, 118.727457883721 30.9533199863622, 118.726727918327 30.9535900089415))",60.00,,,,99,,,,,,118.729277,30.952553,03,,3,2,,1,,,304.00,西,1682.83,341804000000,341804,0
6471,,34180200000159,34180200000025,梅溪路,6,无名路,宛陵西路,118.726725,30.953573,118.731609,30.951151,,,531.18,,,34180200121,121.00,东,3,341802,1,4,,34180200000159_34180200000025,,03,1,"MULTILINESTRING ((118.726687940725 30.9534799414583, 118.727407932894 30.9532199759248, 118.728066864708 30.9529699346202, 118.728456888893 30.952789974632, 118.729076859229 30.9525099573132, 118.729236902192 30.9524399751574, 118.729386924238 30.9523599328075, 118.729476851755 30.9523199374577, 118.729656870603 30.9522200072174, 118.729656870603 30.9522200072174, 118.729836858576 30.9521300006223, 118.730076911225 30.9520099604584, 118.730346853926 30.9518699433019, 118.730466909285 30.9517999538436, 118.730816880493 30.9516109606691, 118.731326929363 30.9513309617118, 118.731556882964 30.9511909365996))",60.00,,,,99,,,,,,118.729182,30.952464,03,,3,2,,1,,,111.00,东,1706.71,341804000000,341804,0
6598,,34180200005615,34180200000025,梅溪路,6,无名路,宛陵西路,118.734556,30.949251,118.731609,30.951151,,,351.42,,,34180200122,304.00,西,3,341802,1,4,,34180200005615_34180200000025,,03,1,"MULTILINESTRING ((118.734555884945 30.949251002688, 118.734485924733 30.9493009275763, 118.734285916936 30.9494410069068, 118.733956873536 30.9496809695598, 118.733786932646 30.9498109918683, 118.73358692112 30.9499509799925, 118.733436952502 30.9500509635115, 118.733346943319 30.950121003686, 118.73309693271 30.9503209319171, 118.73284690535 30.9504909992843, 118.732746950578 30.9505609919986, 118.732626945974 30.9506510101996, 118.732606923238 30.9506609314975, 118.732606923238 30.9506609314975, 118.732496920332 30.9507309685374, 118.732036882579 30.9510209468353, 118.731696895732 30.9512409330388))",60.00,,,,99,,,,,,118.733149,30.950279,03,,2,2,,1,,,306.00,西,1046.36,341804000000,341804,0
5173,,34180200000084,34180200005596,梅溪路,6,梅溪路,状元南路,118.752494,30.939655,118.751674,30.939865,,,80.36,,,34180200234,289.00,西,4,341802,1,4,,34180200000084_34180200005596,,03,1,"MULTILINESTRING ((118.75245386972 30.9395949837013, 118.752203909042 30.9396849772068, 118.752103850553 30.9397249448572, 118.751673844903 30.9398650104727))",60.00,,,,99,,,,,,118.752066,30.939737,03,,4,2,,1,,,291.00,西,303.61,341802000000,341802,0
15279,,34180200000084,34180200005590,梅溪路,6,梅溪路,状元南路,118.752494,30.939655,118.751574,30.939935,,,93.24,,,34180200235,288.00,西,1,341802,1,1,,34180200000084_34180200005590,,06,1,"MULTILINESTRING ((118.752493898071 30.9396549739129, 118.752353859576 30.9396949425698, 118.751573915276 30.9399350169283))",50.00,,,,99,,,,,,118.752033,30.939794,06,,5,4,,1,,,288.00,西,84.01,341802000000,341802,0
2587,,34180200000193,34180200000084,梅溪路,6,响山路,梅溪路,118.755743,30.938312,118.752494,30.939655,,,340.93,,,34180200236,291.00,西,3,341802,1,3,,34180200000193_34180200000084,,03,1,"MULTILINESTRING ((118.755732931975 30.9383849295845, 118.755482846897 30.9384849446349, 118.754962920844 30.9386749572833, 118.754672932688 30.9387849849706, 118.754392912023 30.9388849532923, 118.753912883135 30.9390649478746, 118.753413910375 30.939245017285, 118.752753911232 30.9394850049795, 118.752623919622 30.9395249278859, 118.75245386972 30.9395949837013))",60.00,,,,99,,,,,,118.754096,30.938996,03,,4,2,,1,,,292.00,西,1082.9,341802000000,341802,0
12447,,34180200000082,34180200000438,梅溪路,6,卧龙巷,佳乐巷,118.724598,30.954200,118.723623,30.954440,,,95.59,,,34180200231,283.00,西,3,341802,1,3,,34180200000082_34180200000438,,03,1,"MULTILINESTRING ((118.724597939985 30.9541999711053, 118.72430791169 30.9542599545663, 118.723657871266 30.9543999784055, 118.723627903219 30.9544099407997))",60.00,,,,99,,,,,,118.724112,30.954302,03,,3,2,,1,,,283.00,西,299.27,341804000000,341804,0
1609,,34180200000159,34180200000082,梅溪路,6,无名路,卧龙巷,118.726725,30.953573,118.724598,30.954200,,,214.72,,,34180200233,283.00,西,3,341802,1,3,,34180200000159_34180200000082,,03,1,"MULTILINESTRING ((118.726727918327 30.9535900089415, 118.726557881795 30.953640003996, 118.725817920017 30.953889947288, 118.725567955424 30.9539599534107, 118.725507917005 30.9539799706445, 118.725147952317 30.9540799523142, 118.724597939985 30.9541999711053))",60.00,,,,99,,,,,,118.725673,30.953931,03,,3,2,,1,,,289.00,西,664.01,341804000000,341804,0
4534,,34180200000110,34180200000149,梅溪路,6,梅溪路,九同路,118.740775,30.944903,118.744030,30.943109,,,372.26,,,34180200267,116.00,东,3,341802,1,3,,34180200000110_34180200000149,,03,1,"MULTILINESTRING ((118.740714945987 30.9448530145757, 118.740764849625 30.9448229328725, 118.741174927325 30.9445630072045, 118.741234907107 30.9445229563262, 118.741624851079 30.9443130080433, 118.742014923948 30.9440929529974, 118.742144877212 30.9440330137202, 118.742264884646 30.9439729377577, 118.742704871061 30.943763935505, 118.74303487815 30.9436139711696, 118.743314903319 30.9434839858654, 118.743634859842 30.9433339751835, 118.743634859842 30.9433339751835, 118.744054908502 30.9431339881249))",60.00,,,,99,,,,,,118.742352,30.943932,03,,2,2,,1,,,123.00,东,1165.75,341802000000,341802,0
11683,,34180200000110,34180200005563,梅溪路,6,梅溪路,无名路,118.740775,30.944903,118.739886,30.945463,,,101.26,,,34180200268,302.00,西,3,341802,1,3,,34180200000110_34180200005563,,03,1,"MULTILINESTRING ((118.740764903992 30.9449529294429, 118.740374929311 30.9451729795166, 118.739885950414 30.9454630136894))",60.00,,,,99,,,,,,118.740323,30.945204,03,,2,2,,1,,,300.00,西,354.88,341802000000,341802,0
4749,,34180200005624,34180200000110,梅溪路,6,梅溪路,梅溪路,118.745205,30.942694,118.740775,30.944903,,,483.90,,,34180200269,303.00,西,3,341802,1,3,,34180200005624_34180200000110,,03,1,"MULTILINESTRING ((118.745204915179 30.9426940108557, 118.74492486769 30.9428340141213, 118.744604885961 30.9429939517132, 118.744464861424 30.943063952798, 118.74413486024 30.9432140108339, 118.743684849062 30.9434239650137, 118.743374863809 30.9435640080739, 118.743064875987 30.9437039602303, 118.742754946303 30.9438529322, 118.74219489308 30.9441129901152, 118.742084930841 30.9441729306096, 118.741654847861 30.9444029974636, 118.741654847861 30.9444029974636, 118.741304885996 30.9446129484126, 118.740844904842 30.9449029562385))",60.00,,,,99,,,,,,118.742993,30.943739,03,,2,2,,1,,,298.00,西,1482.69,341802000000,341802,0
