gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
10447,,34180200008874,34180200000478,中山中路,6,中山后路,状元北路,118.752119,30.951554,118.750792,30.951347,,,121.89,,,34180201808,260.00,西,2,341802,1,2,,34180200008874_34180200000478,,06,1,"MULTILINESTRING ((118.752118445549 30.9515589770366, 118.751844286044 30.9515349085972, 118.751404009906 30.9514649174902, 118.75086395635 30.9513648827449))",40.00,,,,99,,,,,,118.751489,30.951478,06,,5,4,,1,,,262.00,西,245.32,341802000000,341802,0
8025,,34180200000478,34180200008874,中山中路,6,状元北路,中山后路,118.750792,30.951347,118.752119,30.951554,,,121.80,,,34180201802,83.00,东,1,341802,1,1,,34180200000478_34180200008874,,06,1,"MULTILINESTRING ((118.750865765317 30.9513550250231, 118.751405714172 30.9514550611814, 118.751845465383 30.9515249691874, 118.752119309272 30.9515489516916))",40.00,,,,99,,,,,,118.75149,30.951468,06,,5,4,,1,,,80.00,东,134.47,341802000000,341802,0
2803,,34180200006480,34180200008874,中山中路,6,锦城北路,中山后路,118.754255,30.951949,118.752119,30.951554,,,208.91,,,34180204181,256.00,西,1,341802,1,1,,34180200006480_34180200008874,,06,1,"MULTILINESTRING ((118.754254086366 30.9519539116759, 118.753873863073 30.9518939393403, 118.75380407144 30.9518838806366, 118.753634057242 30.9518538918344, 118.753283876686 30.9517939610868, 118.753243916271 30.9517838581614, 118.753063959241 30.9517539132917, 118.752764021577 30.9516939309642, 118.752463846805 30.9516438745653, 118.752117709726 30.951558806588))",40.00,,,,99,,,,,,118.753183,30.951774,06,,5,4,,1,,,261.00,西,213.32,341802000000,341802,0
3449,,34180200008874,34180200006480,中山中路,6,中山后路,锦城北路,118.752119,30.951554,118.754255,30.951949,,,208.84,,,34180204182,81.00,东,1,341802,1,2,,34180200008874_34180200006480,,06,1,"MULTILINESTRING ((118.752120045095 30.9515491221401, 118.752465866552 30.9516341041797, 118.752765830353 30.9516840732235, 118.753065767986 30.951744055548, 118.75324593594 30.9517740877666, 118.753285893057 30.9517840103105, 118.753635761282 30.9518440355052, 118.753805670815 30.9518740257261, 118.753875879383 30.9518839885572, 118.754255685696 30.9519440567617))",40.00,,,,99,,,,,,118.753184,30.951764,06,,5,4,,1,,,76.00,东,238.08,341802000000,341802,0
4407,,34180200006546,34180200006480,中山中路,6,澄江南路,锦城北路,118.758054,30.952409,118.754255,30.951949,,,366.58,,,34180204183,263.00,西,2,341802,1,2,,34180200006546_34180200006480,,06,1,"MULTILINESTRING ((118.758053366463 30.9524139635802, 118.757702918835 30.9523739856, 118.757702918835 30.9523739856, 118.757222936502 30.9523139367863, 118.756453926613 30.9522239854805, 118.755833946315 30.9521440028909, 118.755603846922 30.9521139310234, 118.755444272085 30.9520939066324, 118.754933939403 30.952033990911, 118.754933939403 30.952033990911, 118.75441387009 30.9519739347143, 118.754254295661 30.9519539088345))",50.00,,,,99,,,,,,118.756154,30.952185,06,,5,4,,1,,,263.00,西,737.29,341802000000,341802,0
9627,,34180200006480,34180200006546,中山中路,6,锦城北路,澄江南路,118.754255,30.951949,118.758054,30.952409,,,366.57,,,34180204179,83.00,东,2,341802,1,2,,34180200006480_34180200006546,,06,1,"MULTILINESTRING ((118.754255474752 30.9519439694126, 118.754415886345 30.951963983925, 118.754935849308 30.9520239513464, 118.755445451054 30.9520839672045, 118.755605863054 30.9521039802203, 118.755835856127 30.9521339633166, 118.756455941008 30.9522139444771, 118.757224847821 30.9523039873875, 118.757704933101 30.9523639445822, 118.758054440515 30.9524040255628))",50.00,,,,99,,,,,,118.756155,30.952175,06,,5,4,,1,,,83.00,东,723.25,341802000000,341802,0
