gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
3386,,34180200000479,34180200006185,叠嶂西路,6,状元南路,陵西路,118.750995,30.946459,118.747295,30.946552,,,347.71,,,34180201811,278.00,西,2,341802,1,3,,34180200000479_34180200006185,,06,1,"MULTILINESTRING ((118.750924532891 30.9464569272057, 118.750765047778 30.9464469994032, 118.750445179724 30.9464869665957, 118.75039514944 30.9464870127622, 118.750285011562 30.9464969845296, 118.75005476882 30.9464869316084, 118.749644918017 30.9464769645646, 118.749544855783 30.9464769660671, 118.749474938608 30.9464770104683, 118.748444876478 30.9464869815839, 118.747994986876 30.946496946813, 118.747815167694 30.9464969432, 118.747295432884 30.9465569265357))",50.00,,,,99,,,,,,118.74911,30.946481,06,,5,4,,1,,,275.00,西,823.29,341802000000,341802,0
11205,,34180200006185,34180200000479,叠嶂西路,6,陵西路,状元南路,118.747295,30.946552,118.750995,30.946459,,,347.88,,,34180201817,95.00,东,2,341802,1,3,,34180200006185_34180200000479,,06,1,"MULTILINESTRING ((118.747294310537 30.9465470182711, 118.747814566862 30.9464869376747, 118.747994804593 30.9464869356276, 118.748444903432 30.9464769675693, 118.748444903432 30.9464769675693, 118.749474860813 30.9464669978742, 118.749474860813 30.9464669978742, 118.749544882622 30.9464669520567, 118.749644944846 30.9464669505545, 118.750055111176 30.9464770035394, 118.75028482904 30.9464869733565, 118.750394652982 30.9464770058417, 118.750444578619 30.946476961093, 118.750764760565 30.9464369896502, 118.750925189081 30.9464469948845))",50.00,,,,99,,,,,,118.74911,30.946471,06,,5,4,,1,,,98.00,东,830.91,341802000000,341802,0
16358,,34180200004667,34180200006185,叠嶂西路,6,叠嶂西路,陵西路,118.741865,30.946782,118.747295,30.946552,,,520.87,,,34180202849,92.00,东,1,341802,1,1,,34180200004667_34180200006185,,06,1,"MULTILINESTRING ((118.741862154031 30.9467777730099, 118.741892869579 30.9467573316669, 118.741933818996 30.9467471268906, 118.741984189504 30.9467369755348, 118.742134730708 30.9467270074365, 118.742314864652 30.9467270147079, 118.74244475709 30.9467269774511, 118.742604613021 30.9467169734264, 118.743154545771 30.9466769897359, 118.743284571871 30.9466670263834, 118.743504611659 30.9466570212886, 118.743644894264 30.9466470094125, 118.743724574185 30.9466370032009, 118.744114907796 30.9466269544872, 118.744114907796 30.9466269544872, 118.744814877403 30.9466069507508, 118.74492488425 30.9466069990615, 118.745654919425 30.946576932012, 118.745824718852 30.9465669701222, 118.745984860668 30.9465669717202, 118.746214739349 30.9465570095145, 118.747294833747 30.9465470111969))",40.00,,,,99,,,,,,118.744573,30.946614,06,,5,4,,1,,,97.00,东,510.27,341802000000,341802,0
15877,,34180200006185,34180200004667,叠嶂西路,6,陵西路,叠嶂西路,118.747295,30.946552,118.741865,30.946782,,,520.31,,,34180202850,277.00,西,1,341802,1,1,,34180200006185_34180200004667,,06,1,"MULTILINESTRING ((118.747294909674 30.9465569336099, 118.746215024449 30.9465669291044, 118.745984938099 30.94657698433, 118.745825005551 30.9465769799054, 118.74565489218 30.9465869460368, 118.744924856929 30.946617013089, 118.744814850071 30.9466169647787, 118.744114880391 30.9466369685177, 118.743725279236 30.9466470073491, 118.743644865172 30.9466569332536, 118.743505210406 30.9466669366596, 118.743285170596 30.9466769417562, 118.743155250763 30.9466869938893, 118.742605213313 30.946726978996, 118.742445043439 30.9467369872549, 118.742314940065 30.9467369371429, 118.742135017025 30.9467370172421, 118.741985522231 30.9467469712359, 118.741935983948 30.9467568407348, 118.741896909911 30.9467665691675, 118.741867642992 30.9467860888537))",40.00,,,,99,,,,,,118.744576,30.946624,06,,5,4,,1,,,272.00,西,532.67,341802000000,341802,0
