gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
10050,,34180200000405,34180200000447,锦城南路,6,鳌峰中路,叠嶂中路,118.755336,30.943313,118.755357,30.947728,,,474.22,,,34180201489,355.00,北,1,341802,1,2,,34180200000405_34180200000447,,06,1,"MULTILINESTRING ((118.755358839441 30.943432284499, 118.755638935736 30.9453620134035, 118.755638936611 30.9455223217335, 118.755528892202 30.9463729907416, 118.755518867453 30.9464429517076, 118.755448861848 30.9469819324016, 118.755428918184 30.947161997614, 118.755418790562 30.9471919956539, 118.755368916817 30.9476814465661))",60.00,,,,99,,,,,,118.755635,30.945555,06,,5,4,,1,,,8.00,北,553.11,341802000000,341802,0
4522,,34180200007363,34180200000405,锦城南路,6,鳌峰中路,鳌峰中路,118.755904,30.943403,118.755336,30.943313,,,53.34,,,34180201494,269.00,西,1,341802,1,1,,34180200007363_34180200000405,,06,1,"MULTILINESTRING ((118.755903917355 30.9434029581309, 118.755773923644 30.9434429745257, 118.755353932989 30.943432982631))",40.00,,,,99,,,,,,118.755632,30.94344,06,,5,4,,1,,,274.00,西,50.56,341802000000,341802,0
10347,,34180200000447,34180200000405,锦城南路,6,叠嶂中路,鳌峰中路,118.755357,30.947728,118.755336,30.943313,,,473.96,,,34180201497,188.00,南,1,341802,1,2,,34180200000447_34180200000405,,06,1,"MULTILINESTRING ((118.75535895596 30.947680499315, 118.755409017601 30.9471898730855, 118.75541893759 30.9471599680795, 118.755438882922 30.9469799930585, 118.755508888582 30.9464410123676, 118.75551891169 30.9463709612117, 118.755628876285 30.9455216464875, 118.755628886972 30.9453619694905, 118.755348921899 30.9434336821841))",60.00,,,,99,,,,,,118.755624,30.945555,06,,5,4,,1,,,175.00,南,696.72,341802000000,341802,0
9868,,34180200000447,34180200006095,锦城南路,6,叠嶂中路,豆腐巷,118.755357,30.947728,118.754625,30.950970,,,362.79,,,34180201677,341.00,北,1,341802,1,1,,34180200000447_34180200006095,,06,1,"MULTILINESTRING ((118.755358849305 30.9477719766321, 118.755288838819 30.9481218710473, 118.755268841187 30.9482417649592, 118.755248915324 30.9483713106708, 118.755248942914 30.9484014413986, 118.755238870596 30.9484516463581, 118.755228849845 30.9486019869136, 118.755208854021 30.9486819164824, 118.755138901779 30.9491609948478, 118.75511885297 30.9493010068948, 118.75511885297 30.9493010068948, 118.755058784651 30.9497310555765, 118.754988655393 30.9499715231992, 118.754888928724 30.9502419825553, 118.754629597085 30.9509716275225))",40.00,,,,99,,,,,,118.755105,30.949399,06,,5,4,,1,,,350.00,北,373.84,341802000000,341802,0
1685,,34180200006095,34180200000447,锦城南路,6,豆腐巷,叠嶂中路,118.754625,30.950970,118.755357,30.947728,,,362.63,,,34180201680,170.00,南,1,341802,1,2,,34180200006095_34180200000447,,06,1,"MULTILINESTRING ((118.754620220902 30.9509683267494, 118.75487891154 30.9502379688014, 118.754979177951 30.9499684042507, 118.755049011435 30.9497289329912, 118.755108872157 30.9492989773452, 118.75512892098 30.9491589652992, 118.75512892098 30.9491589652992, 118.755198979564 30.9486799757064, 118.755218869104 30.9485999573696, 118.755228903063 30.9484503383382, 118.755238877339 30.9484004955626, 118.7552388547 30.948370635406, 118.755258973371 30.9482401849479, 118.755278967718 30.9481201106561, 118.75534897494 30.9477700358639))",40.00,,,,99,,,,,,118.755095,30.949396,06,,5,4,,1,,,161.00,南,452.08,341802000000,341802,0
8728,,34180200006095,34180200006480,锦城南路,6,豆腐巷,中山中路,118.754625,30.950970,118.754255,30.951949,,,114.18,,,34180203630,340.00,北,2,341802,1,2,,34180200006095_34180200006480,,06,1,"MULTILINESTRING ((118.754629597085 30.9509716275225, 118.754519602685 30.9512817392613, 118.754259576639 30.9519507699026))",40.00,,,,99,,,,,,118.754449,30.951463,06,,5,4,,1,,,341.00,北,221.14,341802000000,341802,0
12389,,34180200006480,34180200006095,锦城南路,6,中山中路,豆腐巷,118.754255,30.951949,118.754625,30.950970,,,114.15,,,34180203634,161.00,南,1,341802,1,1,,34180200006480_34180200006095,,06,1,"MULTILINESTRING ((118.754250195424 30.9519471985349, 118.754510223177 30.9512782581005, 118.754620220902 30.9509683267494))",40.00,,,,99,,,,,,118.75444,30.951459,06,,5,4,,1,,,160.00,南,117.06,341802000000,341802,0
