gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
2742,,34180200000591,34180200000632,梅园路,6,景德路,无名路,118.733043,30.942602,118.736221,30.941970,,,307.27,,,34180202211,102.00,东,2,341802,1,2,,34180200000591_34180200000632,,06,1,"MULTILINESTRING ((118.733085897597 30.9425549682301, 118.73359588003 30.9424249871273, 118.73409593633 30.942324997874, 118.735125873845 30.9421249740724, 118.735255923396 30.9421050049244, 118.736215883337 30.9419249470901))",60.00,,,,99,,,,,,118.734646,30.942218,06,,5,4,,1,,,105.00,东,651.67,341804000000,341804,0
9775,,34180200000591,34180200000594,梅园路,6,景德路,创业路,118.733043,30.942602,118.729066,30.943924,,,394.50,,,34180202212,289.00,西,3,341802,1,3,,34180200000591_34180200000594,,06,1,"MULTILINESTRING ((118.73299285975254 30.94268500564694, 118.732735923974 30.9427649866657, 118.72913854278119 30.943959602458445))",60.00,,,,99,,,,,,118.731065,30.94332,06,,5,4,,1,,,289.00,西,1238.54,341804000000,341804,0
661,,34180200006469,34180200000591,梅园路,6,无名路,景德路,118.735166,30.942205,118.733043,30.942602,,,201.51,,,34180202213,285.00,西,3,341802,1,3,,34180200006469_34180200000591,,06,1,"MULTILINESTRING ((118.73516594069 30.9422049967335, 118.734125925426 30.9424149893572, 118.733695946722 30.9424950036642, 118.733205878847 30.9426149750467, 118.73312088895857 30.942643544231448))",60.00,,,,99,,,,,,118.73414,30.942412,06,,5,4,,1,,,282.00,西,605.92,341804000000,341804,0
11532,,34180200000594,34180200000591,梅园路,6,创业路,景德路,118.729066,30.943924,118.733043,30.942602,,,395.58,,,34180202214,109.00,东,3,341802,1,3,,34180200000594_34180200000591,,06,1,"MULTILINESTRING ((118.729095867177 30.9438839412071, 118.732955894337 30.9425949619843))",60.00,,,,99,,,,,,118.731026,30.943239,06,,5,4,,1,,,109.00,东,1247.75,341804000000,341804,0
9541,,34180200000594,34180200006614,梅园路,6,创业路,梅园路,118.729066,30.943924,118.725537,30.946953,,,482.90,,,34180202220,332.00,北,2,341802,1,2,,34180200000594_34180200006614,,06,1,"MULTILINESTRING ((118.72904605193123 30.943989673375178, 118.728785921608 30.94407401776, 118.727806858777 30.944543952267, 118.727316917976 30.944863993671, 118.726956906383 30.9451339426362, 118.726236853883 30.945853002219, 118.725906866924 30.9463029744705, 118.725766949182 30.9465430068509, 118.725636944181 30.9467930106428, 118.725606876372 30.9468729805114, 118.725536929548 30.9469529415783))",60.00,,,,99,,,,,,118.726984,30.945114,06,,5,4,,1,,,295.00,西,998.49,341804000000,341804,0
3817,,34180200006614,34180200000594,梅园路,6,梅园路,创业路,118.725537,30.946953,118.729066,30.943924,,,492.33,,,34180202223,113.00,东,3,341802,1,3,,34180200006614_34180200000594,,06,1,"MULTILINESTRING ((118.725536929548 30.9469529415783, 118.725536941628 30.9468429710687, 118.725566917563 30.9467229476137, 118.725706925658 30.946452963324, 118.726036911462 30.9459329858388, 118.72638692118 30.9455139596983, 118.726546861229 30.9453340120721, 118.726916887929 30.9450039383621, 118.727286870875 30.9447239327499, 118.728076927624 30.9442839544256, 118.728745934743 30.9440040056639, 118.729005873196 30.9439140135535))",60.00,,,,99,,,,,,118.726892,30.945026,06,,5,4,,1,,,162.00,南,1472.01,341804000000,341804,0
7194,,34180200000632,34180200006469,梅园路,6,无名路,无名路,118.736221,30.941970,118.735166,30.942205,,,103.46,,,34180202339,281.00,西,2,341802,1,2,,34180200000632_34180200006469,,06,1,"MULTILINESTRING ((118.736225883558 30.9420149359316, 118.735285941836 30.9421849820334, 118.73516594069 30.9422049967335))",60.00,,,,99,,,,,,118.735696,30.942111,06,,5,4,,1,,,281.00,西,203.0,341804000000,341804,0
9745,,34180200006614,34180200008470,梅园路,6,梅园路,宝城路,118.725537,30.946953,118.725230,30.947665,,,84.27,,,34180204332,337.00,北,3,341802,1,3,,34180200006614_34180200008470,,06,1,"MULTILINESTRING ((118.725541669315 30.9469545923489, 118.725531535493 30.9469847687799, 118.725234498917 30.9476669602468))",40.00,,,,99,,,,,,118.725389,30.947311,06,,5,4,,1,,,338.00,北,272.14,341804000000,341804,0
12485,,34180200008470,34180200006614,梅园路,6,宝城路,梅园路,118.725230,30.947665,118.725537,30.946953,,,84.17,,,34180204333,158.00,南,2,341802,1,2,,34180200008470_34180200006614,,06,1,"MULTILINESTRING ((118.725225320287 30.947662932959, 118.72552226038 30.9469811938677, 118.725532191402 30.9469513809994))",40.00,,,,99,,,,,,118.72538,30.947308,06,,5,4,,1,,,157.00,南,168.34,341804000000,341804,0
6519,,34180200008470,34180200008565,梅园路,6,宝城路,宝城路,118.725230,30.947665,118.725182,30.947759,,,11.39,,,34180205121,334.00,北,1,341802,1,1,,34180200008470_34180200008565,,06,1,"MULTILINESTRING ((118.725234399135 30.9476672322197, 118.725186370584 30.9477612444507))",40.00,,,,99,,,,,,118.72521,30.947714,06,,5,4,,1,,,334.00,北,9.57,341804000000,341804,0
5216,,34180200008565,34180200008470,梅园路,6,宝城路,宝城路,118.725182,30.947759,118.725230,30.947665,,,11.38,,,34180205122,154.00,南,1,341802,1,1,,34180200008565_34180200008470,,06,1,"MULTILINESTRING ((118.725177496156 30.9477566718172, 118.725225420069 30.9476626609862))",40.00,,,,99,,,,,,118.725201,30.94771,06,,5,4,,1,,,154.00,南,9.78,341804000000,341804,0
1601,,34180200008565,34180200011924,梅园路,6,宝城路,水阳江西大道,118.725182,30.947759,118.718928,30.950392,,,841.26,,,34180205137,260.00,西,2,341802,1,3,,34180200008565_34180200011924,,06,1,"MULTILINESTRING ((118.725186167778 30.9477616080124, 118.724966234452 30.9481215190241, 118.724338351536 30.9492712808514, 118.723781300378 30.9503443155472, 118.723397545859 30.9510366811396, 118.723175950057 30.9511589888968, 118.72264905139 30.9510788677724, 118.718927003165 30.9503968902953))",60.00,,,,99,,,,,,118.723012,30.951134,06,,5,4,,1,,,330.00,北,2121.2,341804000000,341804,0
5335,,34180200011924,34180200008565,梅园路,6,水阳江西大道,宝城路,118.718928,30.950392,118.725182,30.947759,,,840.04,,,34180205138,150.00,南,2,341802,1,3,,34180200011924_34180200008565,,06,1,"MULTILINESTRING ((118.718928815423 30.9503870328974, 118.722650758624 30.9510690117322, 118.723173886657 30.9511490027058, 118.723390190722 30.9510292915073, 118.723772528795 30.9503396512374, 118.724329475381 30.9492666179724, 118.724957561186 30.9481164926232, 118.725177595938 30.9477563998444))",60.00,,,,99,,,,,,118.723008,30.951124,06,,5,4,,1,,,80.00,东,1695.67,341804000000,341804,0
